%time,field.header.seq,field.header.stamp,field.header.frame_id,field.position.x,field.position.y,field.position.z,field.velocity.x,field.velocity.y,field.velocity.z,field.acceleration.x,field.acceleration.y,field.acceleration.z,field.jerk.x,field.jerk.y,field.jerk.z,field.yaw,field.yaw_dot,field.kx0,field.kx1,field.kx2,field.kv0,field.kv1,field.kv2,field.trajectory_id,field.trajectory_flag
2217681000000,17,2217681000000,world,-0.0837871953574,-0.0201744590889,2.44854313207,0.0273087460211,-0.00151497605347,-0.0100305923637,0.289755893061,-0.189498780362,-0.000973802811341,0.0,0.0,0.0,-0.329867223,-3.14158061578,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2217692000000,18,2217691000000,world,-0.0834993409561,-0.0201992663499,2.44844277652,0.030290048874,-0.00346473228141,-0.0100406118305,0.306504677522,-0.200452465227,-0.00103009055182,0.0,0.0,0.0,-0.345575186,-3.14158660789,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2217701000000,19,2217701000000,world,-0.0831808360871,-0.0202441188574,2.44834231796,0.0334388395716,-0.00552402535801,-0.0100511941747,0.323253461983,-0.211406150092,-0.00108637829229,0.0,0.0,0.0,-0.361283149,-3.14158960394,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2217711000000,20,2217711000000,world,-0.0828300058719,-0.0203101119799,2.44824175076,0.0367551181137,-0.00769285528325,-0.0100623393963,0.340002246444,-0.222359834957,-0.00114266603277,0.0,0.0,0.0,-0.376991112,-3.14159110197,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2217721000000,21,2217721000000,world,-0.082445175432,-0.0203983410859,2.44814106929,0.0402388845005,-0.00997122205715,-0.0100740474954,0.356751030905,-0.233313519823,-0.00119895377325,0.0,0.0,0.0,-0.392699075,-3.14159185099,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2217732000000,22,2217731000000,world,-0.0820246698891,-0.0205099015438,2.44804026793,0.0438901387318,-0.0123591256797,-0.0100863184718,0.373499815366,-0.244267204688,-0.00125524151372,0.0,0.0,0.0,-0.408407038,-3.14159222549,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2217742000000,23,2217741000000,world,-0.0815668143646,-0.0206458887223,2.44793934105,0.0477088808078,-0.0148565661509,-0.0100991523256,0.390248599827,-0.255220889553,-0.0013115292542,0.0,0.0,0.0,-0.424115001,-3.14159241275,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2217751000000,24,2217751000000,world,-0.0810699339801,-0.0208073979897,2.44783828301,0.0516951107284,-0.0174635434708,-0.0101125490569,0.406997384289,-0.266174574418,-0.00136781699468,0.0,0.0,0.0,-0.439822964,-3.14159250637,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2217761000000,25,2217761000000,world,-0.0805323538572,-0.0209955247145,2.44773708819,0.0558488284936,-0.0201800576393,-0.0101265086655,0.42374616875,-0.277128259284,-0.00142410473515,0.0,0.0,0.0,-0.455530927,-3.14159255319,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2217772000000,26,2217771000000,world,-0.0799523991174,-0.0212113642653,2.44763575096,0.0601700341034,-0.0230061086564,-0.0101410311516,0.440494953211,-0.288081944149,-0.00148039247563,0.0,0.0,0.0,-0.47123889,-3.14159257659,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2217781000000,27,2217781000000,world,-0.0793283948823,-0.0214560120105,2.44753426569,0.0646587275578,-0.0259416965223,-0.010156116515,0.457243737672,-0.299035629014,-0.00153668021611,0.0,0.0,0.0,-0.502654816,-3.1415925883,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2217792000000,28,2217792000000,world,-0.0785891140892,-0.021759705317,2.44742245419,0.0697897388181,-0.0292973582349,-0.0101733605382,0.475667400579,-0.311084682366,-0.00159859673063,0.0,0.0,0.0,-0.5199335753,-3.14159259415,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2217802000000,29,2217802000000,world,-0.0778671541846,-0.0220684156949,2.44732063972,0.0746301567462,-0.0324629734828,-0.0101896279443,0.49241618504,-0.322038367231,-0.00165488447111,0.0,0.0,0.0,-0.5356415383,-3.14159259707,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2217812000000,30,2217812000000,world,-0.0770959526614,-0.0224093299095,2.44721865976,0.0796380625189,-0.0357381255795,-0.0102064582277,0.509164969501,-0.332992052097,-0.00171117221159,0.0,0.0,0.0,-0.5513495013,-3.14159259854,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2217822000000,31,2217821000000,world,-0.0763583854198,-0.0227445923051,2.44712673165,0.0842883798215,-0.0387794164721,-0.0102220867429,0.524238875516,-0.342850368475,-0.00176183117801,0.0,0.0,0.0,-0.565486668,-3.14159259927,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2217831000000,32,2217831000000,world,-0.0754890105314,-0.0231497115497,2.44702442175,0.089614512499,-0.0422626885811,-0.0102399864934,0.540987659977,-0.353804053341,-0.00181811891849,0.0,0.0,0.0,-0.578696231234,-2.891752623,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2217842000000,33,2217841000000,world,-0.074565536877,-0.0235902111996,2.44692193004,0.0951081330211,-0.0458554975389,-0.0102584491213,0.557736444438,-0.364757738206,-0.00187440665897,0.0,0.0,0.0,-0.585729268953,-2.14918008346,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2217851000000,34,2217851000000,world,-0.0735862895781,-0.0240671866233,2.44681925089,0.100769241388,-0.0495578433452,-0.0102774746266,0.574485228899,-0.375711423071,-0.00193069439944,0.0,0.0,0.0,-0.589667478397,-1.46841098609,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2217862000000,35,2217861000000,world,-0.0725495937564,-0.0245817331893,2.44671637867,0.106597837599,-0.0533697260003,-0.0102970630093,0.59123401336,-0.386665107936,-0.00198698213992,0.0,0.0,0.0,-0.592051964433,-0.972654096654,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2217872000000,36,2217872000000,world,-0.0713408763411,-0.0251924364036,2.44660298952,0.113202741892,-0.057689311981,-0.0103192603536,0.609657676267,-0.398714161288,-0.00204889865445,0.0,0.0,0.0,-0.593694136922,-0.635615456442,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2217881000000,37,2217881000000,world,-0.0702971570305,-0.0257279212222,2.44651003251,0.118757493555,-0.0613221018563,-0.0103379284069,0.624731582282,-0.408572477667,-0.00209955762087,0.0,0.0,0.0,-0.594878118548,-0.449361242205,0.0,0.0,0.0,0.0,0.0,0.0,1,1
2217891000000,38,2217891000000,world,-0.0690780663694,-0.0263617534261,2.44640654731,0.125088553301,-0.0654625950573,-0.0103592054218,0.641480366743,-0.419526162532,-0.00215584536135,0.0,0.0,0.0,-0.595868031078,-0.323671874133,0.0,0.0,0.0,0.0,0.0,0.0,1,1
